feature,gain,split
diff_points,1241.5527901649475,44
diff_rank,646.8828854560852,13
diff_rest_days,245.63079071044922,36
diff_avg_player_rating,225.46638917922974,21
t1_avg_player_rating,180.40228128433228,20
t2_rank,148.32760858535767,13
t2_points,134.60576009750366,16
t1_points,119.35441207885742,17
diff_ct_wr,104.01571035385132,12
event_id,102.34575080871582,13
diff_win_rate,92.97241020202637,9
event_prize_pool_usd,89.05678939819336,14
t1_avg_player_adr,78.73692989349365,11
h2h_n,78.43531036376953,12
t1_ct_wr,75.47729969024658,10
event_num_attending,74.13868045806885,8
diff_avg_player_adr,71.12521886825562,11
t2_avg_player_rating,53.33850955963135,8
t2_avg_player_adr,49.9173903465271,7
t2_t_wr,49.18424034118652,7
t1_t_wr,47.18229961395264,8
diff_t_wr,40.91375970840454,7
t2_rest_days,40.89629030227661,6
t1_round_diff,38.79854965209961,6
t1_rank,35.49464988708496,4
t2_ct_wr,35.026000022888184,5
t2_round_diff,30.99218988418579,5
t1_rest_days,28.631930351257324,4
format,24.988320350646973,4
diff_round_diff,24.69779062271118,3
h2h_t1_wr,21.701980113983154,3
t2_win_rate,9.51011037826538,2
event_has_prize,6.817999839782715,1
t1_adr,0.0,0
t1_rating,0.0,0
veto_n,0.0,0
t1_kast,0.0,0
t1_win_rate,0.0,0
stars,0.0,0
t2_kast,0.0,0
diff_kast,0.0,0
diff_adr,0.0,0
diff_rating,0.0,0
t2_n,0.0,0
t1_n,0.0,0
t2_rating,0.0,0
t2_adr,0.0,0
t1_roster_size_hist,0.0,0
t2_roster_size_hist,0.0,0
t1_is_ranked,0.0,0
t2_is_ranked,0.0,0
event_type,0.0,0
t1_picks,0.0,0
t1_bans,0.0,0
t2_picks,0.0,0
t2_bans,0.0,0
