feature,gain,split
diff_points,3761.304002761841,112
diff_rank,965.8747892379761,37
t1_avg_player_kast,673.1098198890686,58
diff_avg_player_rating,662.7212800979614,46
t2_onmap_ct_wr,481.5345597267151,58
t1_onmap_ct_wr,477.94485330581665,56
diff_onmap_t_wr,427.6862897872925,46
t1_avg_player_rating,411.29793882369995,42
t1_onmap_avg_player_adr,402.86785888671875,46
t2_onmap_avg_player_rating,391.52227783203125,42
t1_onmap_avg_player_rating,367.7822699546814,41
t1_onmap_t_wr,355.2470021247864,42
t2_onmap_avg_player_adr,351.64066982269287,42
diff_rest_days,333.5154905319214,38
t1_ct_wr,331.3822908401489,39
t1_avg_player_adr,323.23283863067627,37
t1_rest_days,307.15647172927856,37
t2_onmap_t_wr,303.80172777175903,36
diff_avg_player_adr,302.04168033599854,30
t1_t_wr,299.28325748443604,36
t1_points,285.74571895599365,30
diff_onmap_avg_player_adr,280.9760699272156,29
diff_t_wr,271.14665174484253,30
t2_rank,268.25676679611206,29
t2_points,265.9336109161377,28
diff_onmap_ct_wr,258.76059103012085,32
t2_avg_player_kast,253.902569770813,28
t2_avg_player_adr,252.7511682510376,30
t2_avg_player_rating,250.24364042282104,29
diff_ct_wr,249.95840072631836,29
t1_onmap_round_diff,238.21182012557983,28
t2_t_wr,235.50375843048096,27
diff_onmap_avg_player_rating,228.36541032791138,28
t1_round_diff,217.01966953277588,25
diff_round_diff,202.91119861602783,22
t1_rank,202.45673894882202,20
event_id,189.09533834457397,23
t2_ct_wr,188.08030128479004,22
event_prize_pool_usd,173.8141188621521,21
t2_onmap_win_rate,137.1287612915039,16
map_name,137.07218027114868,16
diff_onmap_win_rate,120.69615030288696,14
t2_rest_days,118.36913871765137,14
diff_onmap_round_diff,116.47087860107422,14
event_num_attending,102.23102951049805,12
h2h_t1_wr,99.29230976104736,13
diff_win_rate,98.88234043121338,11
t1_onmap_win_rate,91.56871032714844,11
t2_onmap_round_diff,88.44132947921753,12
map_picked_by,83.57354164123535,10
t2_onmap_n,81.38100004196167,8
t2_round_diff,80.75928068161011,10
t2_win_rate,62.81612968444824,7
h2h_n,60.13464975357056,7
format,44.880380153656006,6
t2_n,16.776609420776367,2
t1_win_rate,15.078099727630615,2
event_type,9.969940185546875,1
t1_onmap_roster_size_hist,6.781519889831543,1
t2_roster_size_hist,6.111519813537598,1
t1_onmap_n,5.895380020141602,1
t1_onmap_rating,0.0,0
t1_onmap_kast,0.0,0
t1_onmap_adr,0.0,0
t1_n,0.0,0
t1_kast,0.0,0
t1_adr,0.0,0
t1_rating,0.0,0
stars,0.0,0
t2_kast,0.0,0
t2_adr,0.0,0
t2_rating,0.0,0
t2_onmap_kast,0.0,0
diff_onmap_kast,0.0,0
t1_roster_size_hist,0.0,0
t2_onmap_adr,0.0,0
diff_rating,0.0,0
diff_onmap_rating,0.0,0
diff_adr,0.0,0
diff_onmap_adr,0.0,0
diff_kast,0.0,0
t2_onmap_rating,0.0,0
t2_onmap_roster_size_hist,0.0,0
t1_is_ranked,0.0,0
t2_is_ranked,0.0,0
event_has_prize,0.0,0
t1_picks,0.0,0
t1_bans,0.0,0
t2_picks,0.0,0
t2_bans,0.0,0
