feature,gain,split
score_diff,194246.0825805664,142
diff_points,22686.112462997437,226
score_t1,19035.688856124878,70
score_t2,17415.096744537354,62
diff_rank,5222.375505447388,117
map_name,3300.0434036254883,86
diff_onmap_win_rate,3284.5533866882324,81
round_no,3151.144802093506,42
event_id,2726.196418762207,69
pistol_won_t1,422.4799003601074,12
pistol_won_t2,392.7455024719238,9
eq_value_t1,316.0792922973633,6
eq_value_t2,152.77739715576172,4
eq_value_diff,147.94330024719238,3
rounds_to_win_t1,74.24250030517578,1
diff_rating,0.0,0
period,0.0,0
outcome,0.0,0
rounds_to_win_t2,0.0,0
is_overtime,0.0,0
side_winner,0.0,0
last3,0.0,0
last1,0.0,0
last2,0.0,0
