feature,gain,split
diff_points,4099.474914312363,163
diff_rank,944.0554547309875,75
diff_avg_player_rating,782.4420490264893,86
t1_avg_player_kast,735.8818287849426,95
t1_onmap_avg_player_adr,678.1785907745361,110
t2_onmap_ct_wr,669.7990193367004,111
t1_onmap_ct_wr,596.3785207271576,94
t1_onmap_avg_player_rating,591.588268995285,98
diff_onmap_ct_wr,574.9941565990448,90
t1_rest_days,568.3358807563782,90
diff_t_wr,555.6708998680115,82
t2_onmap_avg_player_rating,505.4558482170105,80
diff_avg_player_adr,503.1454689502716,77
t2_points,456.06717252731323,71
t1_avg_player_rating,437.26345896720886,59
t2_onmap_t_wr,431.77796173095703,70
diff_onmap_avg_player_adr,423.32924151420593,69
diff_rest_days,412.95088171958923,67
t1_onmap_t_wr,401.1716215610504,65
t1_points,398.9014267921448,62
t2_avg_player_kast,390.8939507007599,61
diff_onmap_t_wr,386.1907618045807,59
diff_ct_wr,374.9964699745178,56
t1_t_wr,360.34908723831177,58
t1_ct_wr,359.4814085960388,55
t2_rest_days,356.51763105392456,58
event_id,348.4691298007965,57
t2_avg_rounds_against,345.77092933654785,57
diff_avg_rounds_for,331.7949004173279,51
t2_onmap_avg_player_adr,329.2814598083496,55
diff_onmap_avg_player_rating,328.28878927230835,51
t1_onmap_round_diff,321.1435170173645,50
t2_avg_player_rating,311.48689126968384,46
t2_onmap_round_diff,298.6335406303406,47
t2_rank,280.7683391571045,41
t2_ct_wr,279.5457479953766,46
t2_round_diff,274.71122765541077,45
t2_avg_rounds_for,267.0983889102936,41
map_name,262.4732789993286,44
t2_pistol_wr,261.3637800216675,40
event_prize_pool_usd,257.83040022850037,43
t2_avg_player_adr,255.215261220932,42
t1_avg_player_adr,239.62952995300293,36
t1_pistol_wr,236.11100125312805,42
t1_round_diff,231.37354946136475,37
diff_round_diff,221.09145164489746,34
diff_onmap_win_rate,215.29274892807007,36
t1_avg_rounds_against,207.13040161132812,33
diff_onmap_round_diff,204.850830078125,32
t1_rank,197.12765073776245,27
t2_t_wr,196.09918069839478,28
t1_avg_rounds_for,177.52661895751953,28
diff_pistol_wr,173.1555995941162,28
t2_onmap_n,171.66609954833984,24
map_picked_by,165.00464868545532,27
t2_onmap_win_rate,157.50966048240662,29
diff_avg_rounds_against,156.39011001586914,26
diff_win_rate,152.23435974121094,25
h2h_t1_wr,148.05933928489685,25
t1_onmap_win_rate,97.78503131866455,15
event_num_attending,80.43965005874634,13
t1_win_rate,65.30953025817871,12
t2_win_rate,60.26647996902466,11
t1_onmap_n,58.738829612731934,9
h2h_n,44.972970962524414,8
event_type,22.732070207595825,4
t2_pistol_n,22.659629821777344,3
format,14.339599609375,3
t1_onmap_roster_size_hist,12.501729965209961,2
t2_n,11.843800067901611,2
t2_onmap_roster_size_hist,10.76092004776001,2
t1_pistol_n,6.336639881134033,1
t1_picks,4.908609867095947,1
t1_onmap_adr,0.0,0
t1_onmap_kast,0.0,0
t2_adr,0.0,0
t2_onmap_rating,0.0,0
t2_rating,0.0,0
t1_n,0.0,0
t1_kast,0.0,0
t1_adr,0.0,0
t2_kast,0.0,0
t1_rating,0.0,0
stars,0.0,0
t1_onmap_rating,0.0,0
diff_rating,0.0,0
t2_onmap_adr,0.0,0
t2_onmap_kast,0.0,0
diff_onmap_adr,0.0,0
diff_onmap_rating,0.0,0
diff_adr,0.0,0
diff_kast,0.0,0
diff_onmap_kast,0.0,0
t2_roster_size_hist,0.0,0
t1_roster_size_hist,0.0,0
t1_is_ranked,0.0,0
t2_is_ranked,0.0,0
event_has_prize,0.0,0
t2_bans,0.0,0
t1_bans,0.0,0
t2_picks,0.0,0
