feature,gain,split
diff_points,4682.0411257743835,127
t1_avg_player_kast,584.7960734367371,50
diff_avg_player_rating,563.2041387557983,45
t2_onmap_ct_wr,504.7410273551941,58
diff_rank,472.2866497039795,29
t1_onmap_ct_wr,419.8432283401489,49
t2_onmap_t_wr,410.1396794319153,44
t1_onmap_avg_player_rating,391.45126152038574,43
t1_onmap_avg_player_adr,379.43769121170044,43
t1_avg_player_rating,377.92777919769287,38
t2_points,375.74794912338257,36
diff_rest_days,368.49069118499756,39
t1_rest_days,353.080509185791,39
t1_onmap_t_wr,338.12440967559814,39
t2_avg_player_rating,318.6489415168762,36
t2_onmap_avg_player_rating,299.1569285392761,31
diff_avg_rounds_against,296.6149797439575,32
t2_onmap_avg_player_adr,294.4666795730591,33
diff_onmap_t_wr,289.3782877922058,29
event_id,279.01973009109497,34
t2_avg_rounds_against,271.60514974594116,31
t2_rank,264.52780961990356,26
t1_round_diff,254.10364961624146,25
diff_avg_rounds_for,252.9897904396057,29
t2_avg_player_kast,247.98288249969482,27
diff_avg_player_adr,242.43395853042603,21
diff_onmap_avg_player_rating,236.3359088897705,26
diff_onmap_avg_player_adr,235.71428060531616,26
diff_pistol_wr,232.9374418258667,28
t1_t_wr,220.6528992652893,26
t2_t_wr,215.99355125427246,21
diff_onmap_ct_wr,215.86732053756714,25
t1_points,211.78793096542358,24
t1_avg_rounds_against,207.25789976119995,22
t1_onmap_round_diff,205.8695888519287,24
t2_ct_wr,200.11229991912842,26
t1_pistol_wr,199.84881973266602,25
t2_avg_player_adr,192.80983972549438,21
diff_t_wr,187.90316915512085,19
t2_avg_rounds_for,185.78401231765747,21
t1_ct_wr,185.19061851501465,21
diff_ct_wr,185.07630968093872,21
t1_avg_player_adr,183.49523830413818,17
event_prize_pool_usd,169.350971698761,21
t1_avg_rounds_for,165.34171056747437,20
t1_rank,159.3565592765808,17
map_name,158.62106084823608,20
diff_onmap_win_rate,155.81255960464478,17
t2_rest_days,155.7817120552063,19
t2_onmap_round_diff,127.21014928817749,16
h2h_n,108.46209859848022,12
diff_round_diff,107.96489238739014,12
h2h_t1_wr,107.41226100921631,13
t2_onmap_n,104.66901111602783,11
t2_pistol_wr,100.6670594215393,13
diff_win_rate,97.96662092208862,12
map_picked_by,95.04334020614624,11
event_num_attending,94.96924114227295,11
diff_onmap_round_diff,93.46285963058472,10
t2_round_diff,91.81124925613403,11
t2_onmap_win_rate,81.8267912864685,9
t2_win_rate,60.46190071105957,7
t1_onmap_n,35.6226692199707,4
t1_onmap_win_rate,33.150309562683105,4
format,31.835489749908447,4
t1_win_rate,23.251980304718018,3
t1_onmap_roster_size_hist,17.35781955718994,2
t1_n,14.57252025604248,2
t2_n,8.180219650268555,1
t2_pistol_n,7.8736701011657715,1
event_type,6.558879852294922,1
diff_rating,0.0,0
t2_onmap_adr,0.0,0
t1_onmap_adr,0.0,0
t1_onmap_kast,0.0,0
t2_onmap_kast,0.0,0
t2_onmap_rating,0.0,0
t2_rating,0.0,0
t2_kast,0.0,0
t1_kast,0.0,0
t1_adr,0.0,0
stars,0.0,0
t1_rating,0.0,0
t2_adr,0.0,0
t1_onmap_rating,0.0,0
t2_roster_size_hist,0.0,0
t2_onmap_roster_size_hist,0.0,0
t1_roster_size_hist,0.0,0
diff_onmap_kast,0.0,0
diff_onmap_rating,0.0,0
diff_adr,0.0,0
diff_onmap_adr,0.0,0
diff_kast,0.0,0
event_has_prize,0.0,0
t2_is_ranked,0.0,0
t1_is_ranked,0.0,0
t1_pistol_n,0.0,0
t1_picks,0.0,0
t2_bans,0.0,0
t1_bans,0.0,0
t2_picks,0.0,0
