feature,gain,split
diff_points,3688.3401293754578,177
diff_rank,763.3944666385651,62
diff_avg_player_rating,739.6973588466644,92
t1_avg_player_rating,683.2609162330627,105
diff_rest_days,571.7873892784119,93
diff_ct_wr,547.8879497051239,85
t2_points,539.9228372573853,81
t2_avg_player_adr,529.2300999164581,90
t1_avg_player_adr,486.7813787460327,82
diff_avg_player_adr,464.2886528968811,71
t1_t_wr,459.991681098938,81
t2_rank,440.64991664886475,61
t2_t_wr,431.8827590942383,70
t1_points,387.7651107311249,59
event_id,387.50896167755127,69
t2_avg_player_rating,378.7445402145386,67
t1_ct_wr,366.24941873550415,69
t1_rest_days,345.85621786117554,65
diff_t_wr,333.13195157051086,51
t2_ct_wr,331.8554093837738,60
event_prize_pool_usd,314.8997497558594,56
t2_rest_days,303.1508173942566,52
diff_round_diff,261.6240200996399,44
t1_round_diff,229.57583951950073,40
h2h_t1_wr,191.91795015335083,29
t1_rank,175.13037991523743,27
t2_round_diff,168.1013708114624,30
diff_win_rate,157.30487084388733,22
event_num_attending,132.10998106002808,19
t2_win_rate,119.46844053268433,21
h2h_n,118.3498911857605,22
format,80.54310941696167,15
t1_win_rate,30.349810123443604,6
t1_n,20.73421001434326,4
event_type,10.297969818115234,2
t2_n,5.554989814758301,1
veto_n,0.0,0
t1_rating,0.0,0
stars,0.0,0
t1_kast,0.0,0
diff_kast,0.0,0
diff_adr,0.0,0
diff_rating,0.0,0
t2_kast,0.0,0
t2_adr,0.0,0
t2_rating,0.0,0
t1_adr,0.0,0
t1_roster_size_hist,0.0,0
t2_roster_size_hist,0.0,0
t1_is_ranked,0.0,0
t2_is_ranked,0.0,0
event_has_prize,0.0,0
t1_picks,0.0,0
t1_bans,0.0,0
t2_picks,0.0,0
t2_bans,0.0,0
