feature,gain,split
diff_points,102.89774131774902,4
t1_onmap_avg_player_rating,60.46555995941162,5
t1_t_wr,49.93069934844971,4
t2_rank,48.001800537109375,4
t2_avg_player_kast,45.48227024078369,5
diff_t_wr,41.934499740600586,3
t2_avg_rounds_against,33.32316970825195,3
t1_ct_wr,29.092808723449707,3
t2_onmap_t_wr,29.049269676208496,3
event_prize_pool_usd,28.77457904815674,3
diff_avg_rounds_for,27.90280055999756,2
diff_onmap_t_wr,27.49431037902832,3
diff_round_diff,27.43393039703369,3
diff_onmap_avg_player_rating,26.210639476776123,3
diff_onmap_ct_wr,26.124670028686523,3
diff_rest_days,21.35398006439209,2
diff_win_rate,21.035719871520996,2
t1_onmap_t_wr,20.836999893188477,2
t1_onmap_ct_wr,20.610249519348145,2
diff_onmap_win_rate,20.34076976776123,2
h2h_t1_wr,20.292160034179688,2
diff_avg_player_rating,20.032020568847656,2
t2_ct_wr,19.37401008605957,2
t1_pistol_n,18.760300636291504,2
diff_pistol_wr,17.669650077819824,2
diff_rank,17.390409469604492,2
t2_onmap_round_diff,14.64430046081543,1
diff_onmap_avg_player_adr,14.276300430297852,1
t2_onmap_ct_wr,13.102800369262695,1
diff_avg_player_adr,11.611300468444824,1
t1_round_diff,11.44890022277832,1
t1_avg_rounds_for,11.180299758911133,1
t2_pistol_wr,11.0649995803833,1
t2_t_wr,10.781399726867676,1
t1_avg_rounds_against,10.530900001525879,1
t1_points,9.76591968536377,1
t1_onmap_n,9.508580207824707,1
diff_onmap_round_diff,9.347740173339844,1
t2_avg_rounds_for,8.677350044250488,1
t2_onmap_avg_player_rating,8.410030364990234,1
t2_onmap_avg_player_adr,8.33726978302002,1
t2_points,8.336429595947266,1
t1_onmap_round_diff,8.139129638671875,1
diff_rating,0.0,0
t2_onmap_rating,0.0,0
t1_onmap_win_rate,0.0,0
t2_onmap_n,0.0,0
t2_onmap_kast,0.0,0
t2_onmap_win_rate,0.0,0
t2_onmap_adr,0.0,0
t1_onmap_kast,0.0,0
t1_onmap_adr,0.0,0
t1_onmap_rating,0.0,0
t1_adr,0.0,0
t1_win_rate,0.0,0
t1_kast,0.0,0
t2_rating,0.0,0
event_id,0.0,0
stars,0.0,0
format,0.0,0
t1_rating,0.0,0
map_name,0.0,0
t1_n,0.0,0
t2_kast,0.0,0
t2_adr,0.0,0
t2_win_rate,0.0,0
t2_round_diff,0.0,0
t2_n,0.0,0
diff_onmap_rating,0.0,0
h2h_n,0.0,0
t2_onmap_roster_size_hist,0.0,0
t2_roster_size_hist,0.0,0
t1_onmap_avg_player_adr,0.0,0
t1_onmap_roster_size_hist,0.0,0
t1_roster_size_hist,0.0,0
t2_avg_player_adr,0.0,0
t2_avg_player_rating,0.0,0
diff_ct_wr,0.0,0
diff_onmap_kast,0.0,0
diff_onmap_adr,0.0,0
diff_kast,0.0,0
diff_adr,0.0,0
t1_avg_player_rating,0.0,0
t1_avg_player_adr,0.0,0
t1_avg_player_kast,0.0,0
event_num_attending,0.0,0
event_has_prize,0.0,0
event_type,0.0,0
t2_is_ranked,0.0,0
t1_is_ranked,0.0,0
t1_rest_days,0.0,0
t2_rest_days,0.0,0
t1_rank,0.0,0
t2_bans,0.0,0
t1_pistol_wr,0.0,0
t1_bans,0.0,0
t2_picks,0.0,0
t1_picks,0.0,0
map_picked_by,0.0,0
t2_pistol_n,0.0,0
diff_avg_rounds_against,0.0,0
