feature,gain,split
diff_points,4443.190601348877,182
diff_avg_player_rating,2049.2389044761658,159
diff_rank,1055.6162023544312,77
t2_onmap_ct_wr,910.0289125442505,130
t1_onmap_t_wr,737.7210702896118,104
t1_ct_wr,716.6939706802368,97
t1_onmap_avg_player_rating,665.5268831253052,100
t2_rank,660.1634559631348,81
t2_onmap_avg_player_rating,647.1093711853027,89
t1_rest_days,617.9898691177368,89
t2_onmap_t_wr,606.5819087028503,86
t2_points,565.0475089550018,77
map_name,564.1778311729431,76
diff_avg_player_adr,537.595621585846,54
diff_t_wr,520.8929200172424,72
t2_ct_wr,503.96786999702454,66
diff_onmap_ct_wr,502.9460287094116,72
t1_onmap_ct_wr,497.6805090904236,74
diff_ct_wr,467.85744047164917,66
diff_onmap_t_wr,462.0405616760254,66
t2_avg_player_kast,455.355881690979,68
t1_avg_player_rating,454.7373614311218,63
diff_avg_rounds_against,443.4963779449463,61
t1_avg_player_kast,441.90511894226074,66
diff_rest_days,439.58549976348877,64
t2_avg_player_adr,431.15882873535156,58
diff_onmap_avg_player_adr,422.13303899765015,61
t2_avg_player_rating,408.64098024368286,57
t1_t_wr,386.04955863952637,55
t1_onmap_avg_player_adr,377.592649936676,54
t2_onmap_round_diff,364.65279054641724,49
t2_rest_days,354.05592107772827,49
t1_points,348.22949743270874,47
t1_avg_rounds_against,343.1797676086426,47
diff_onmap_avg_player_rating,336.4247589111328,49
diff_onmap_round_diff,331.42891788482666,49
t2_avg_rounds_against,321.9712800979614,47
diff_avg_rounds_for,316.21344089508057,49
t2_onmap_avg_player_adr,304.1908679008484,46
diff_onmap_win_rate,294.97817945480347,45
event_prize_pool_usd,290.2134008407593,42
t1_pistol_wr,289.2985100746155,39
event_num_attending,284.0660090446472,39
t1_rank,279.5282917022705,38
t1_avg_rounds_for,277.2064480781555,42
t1_avg_player_adr,270.56049060821533,39
t1_onmap_round_diff,253.61433935165405,35
t1_round_diff,249.17441940307617,36
h2h_t1_wr,247.7011103630066,36
event_id,239.5875005722046,35
t2_t_wr,237.27774953842163,35
diff_round_diff,230.78936958312988,34
t2_round_diff,188.64919900894165,28
diff_pistol_wr,182.8673596382141,28
t2_pistol_wr,147.75497961044312,23
t2_avg_rounds_for,144.59927940368652,22
t1_onmap_win_rate,132.9896092414856,19
event_type,129.47894859313965,15
diff_win_rate,129.22712993621826,20
t2_onmap_win_rate,113.47073030471802,17
t1_win_rate,85.15885066986084,13
t2_win_rate,79.83900928497314,11
format,70.59251928329468,8
h2h_n,63.40344047546387,10
t2_onmap_n,46.577510356903076,7
t2_onmap_roster_size_hist,45.27317953109741,6
map_picked_by,39.45505952835083,7
t1_onmap_n,36.47084021568298,6
t2_roster_size_hist,18.01253032684326,3
event_has_prize,15.169309616088867,2
t2_pistol_n,6.677460193634033,1
t2_n,5.457019805908203,1
t1_pistol_n,5.4481401443481445,1
t1_picks,4.684969902038574,1
t1_onmap_adr,0.0,0
t2_adr,0.0,0
t1_onmap_kast,0.0,0
t2_rating,0.0,0
t1_n,0.0,0
t1_kast,0.0,0
t1_adr,0.0,0
t2_kast,0.0,0
t1_rating,0.0,0
stars,0.0,0
t1_onmap_rating,0.0,0
diff_rating,0.0,0
t2_onmap_adr,0.0,0
t2_onmap_kast,0.0,0
t2_onmap_rating,0.0,0
diff_onmap_rating,0.0,0
diff_adr,0.0,0
diff_kast,0.0,0
diff_onmap_kast,0.0,0
t1_onmap_roster_size_hist,0.0,0
t1_roster_size_hist,0.0,0
diff_onmap_adr,0.0,0
t2_is_ranked,0.0,0
t1_is_ranked,0.0,0
t2_bans,0.0,0
t1_bans,0.0,0
t2_picks,0.0,0
