feature,gain,split
t2_onmap_ct_wr,416.21447134017944,77
diff_rank,367.15211057662964,67
t1_onmap_avg_player_adr,331.39421820640564,53
t1_onmap_avg_player_rating,327.18156719207764,56
t2_onmap_t_wr,320.0988292694092,57
t1_avg_player_rating,319.5513114929199,50
diff_points,304.11990094184875,58
t1_rest_days,296.3948302268982,53
t1_onmap_t_wr,281.92584013938904,50
diff_avg_player_rating,276.5133125782013,45
t1_onmap_ct_wr,274.1579689979553,45
t2_ct_wr,270.7932107448578,46
t1_ct_wr,270.22341895103455,45
t2_avg_rounds_against,261.7710783481598,50
diff_onmap_ct_wr,256.7425391674042,43
t2_onmap_avg_player_rating,254.51409935951233,49
t2_onmap_avg_player_adr,250.3454394340515,37
map_name,248.19207978248596,45
t1_onmap_round_diff,239.87500023841858,44
t2_onmap_round_diff,238.00670099258423,43
t2_rest_days,236.83749198913574,40
t2_t_wr,220.7517693042755,39
diff_avg_player_adr,217.35862112045288,39
t1_t_wr,215.46572947502136,36
diff_onmap_avg_player_adr,211.68531918525696,36
diff_rest_days,210.28117084503174,37
t2_avg_player_adr,206.50851964950562,37
event_id,204.11039090156555,35
diff_avg_rounds_against,188.70922017097473,30
t1_points,186.387690782547,36
t1_rank,182.82720971107483,32
diff_t_wr,177.80882930755615,31
diff_onmap_t_wr,176.12634944915771,31
diff_onmap_round_diff,173.64226937294006,33
diff_onmap_win_rate,167.39941906929016,24
diff_round_diff,167.07601070404053,30
diff_ct_wr,160.07069182395935,27
t2_avg_player_kast,158.57005953788757,24
t2_avg_player_rating,154.79886102676392,27
t1_avg_player_adr,145.17053937911987,24
diff_pistol_wr,143.4214804172516,26
h2h_t1_wr,139.86621928215027,26
t1_avg_player_kast,139.31031966209412,23
t2_rank,135.73582005500793,25
t1_onmap_win_rate,125.62123966217041,17
diff_win_rate,121.54864072799683,19
t2_pistol_wr,118.92067956924438,21
t2_points,118.80262970924377,22
t2_onmap_win_rate,110.0764389038086,18
t2_avg_rounds_for,108.06276035308838,20
event_prize_pool_usd,106.9082407951355,20
t1_avg_rounds_for,97.9980697631836,18
t1_round_diff,95.99399995803833,17
t1_avg_rounds_against,89.7458803653717,16
diff_avg_rounds_for,82.75276064872742,16
t2_round_diff,77.7708489894867,15
t1_pistol_wr,74.01706027984619,15
diff_onmap_avg_player_rating,68.22891044616699,13
event_num_attending,56.28244996070862,12
t2_win_rate,51.86786985397339,9
t1_win_rate,49.31245040893555,9
t1_onmap_n,48.945899963378906,8
h2h_n,35.31161975860596,7
t1_n,28.909729957580566,6
t2_onmap_n,28.142930030822754,4
event_type,10.366109848022461,2
t2_pistol_n,7.688310146331787,1
t1_roster_size_hist,6.894370079040527,1
t2_n,4.822549819946289,1
format,4.196889877319336,1
t1_picks,3.554689884185791,1
diff_rating,0.0,0
t2_onmap_adr,0.0,0
t1_onmap_adr,0.0,0
t1_onmap_kast,0.0,0
t2_onmap_kast,0.0,0
t2_onmap_rating,0.0,0
t2_rating,0.0,0
t2_kast,0.0,0
t1_kast,0.0,0
t1_adr,0.0,0
stars,0.0,0
t1_rating,0.0,0
t2_adr,0.0,0
t1_onmap_rating,0.0,0
t2_roster_size_hist,0.0,0
t2_onmap_roster_size_hist,0.0,0
t1_onmap_roster_size_hist,0.0,0
diff_onmap_kast,0.0,0
diff_onmap_rating,0.0,0
diff_adr,0.0,0
diff_onmap_adr,0.0,0
diff_kast,0.0,0
event_has_prize,0.0,0
t2_is_ranked,0.0,0
t1_is_ranked,0.0,0
t1_pistol_n,0.0,0
map_picked_by,0.0,0
t2_bans,0.0,0
t1_bans,0.0,0
t2_picks,0.0,0
